distribution,bin,upper,count,ratio

body_chars_full_clean,-inf..0,0,39,0.011847

body_chars_full_clean,0..100,100,66,0.020049

body_chars_full_clean,100..250,250,265,0.080498

body_chars_full_clean,250..500,500,431,0.130923

body_chars_full_clean,500..1000,1000,675,0.205043

body_chars_full_clean,1000..2000,2000,622,0.188943

body_chars_full_clean,2000..4000,4000,613,0.186209

body_chars_full_clean,4000..8000,8000,360,0.109356

body_chars_full_clean,8000..16000,16000,182,0.055286

body_chars_full_clean,16000..inf,inf,39,0.011847

body_chars_after_mailtodo_limit,-inf..0,0,39,0.011847

body_chars_after_mailtodo_limit,0..100,100,66,0.020049

body_chars_after_mailtodo_limit,100..250,250,265,0.080498

body_chars_after_mailtodo_limit,250..500,500,431,0.130923

body_chars_after_mailtodo_limit,500..1000,1000,675,0.205043

body_chars_after_mailtodo_limit,1000..2000,2000,1816,0.55164

body_chars_after_mailtodo_limit,2000..4000,4000,0,0.0

body_chars_after_mailtodo_limit,4000..8000,8000,0,0.0

body_chars_after_mailtodo_limit,8000..16000,16000,0,0.0

body_chars_after_mailtodo_limit,16000..inf,inf,0,0.0

subject_chars,-inf..0,0,3,0.000911

subject_chars,0..20,20,541,0.164338

subject_chars,20..50,50,2062,0.626367

subject_chars,50..100,100,679,0.206258

subject_chars,100..150,150,7,0.002126

subject_chars,150..250,250,0,0.0

subject_chars,250..inf,inf,0,0.0

to_count,-inf..0,0,57,0.017315

to_count,0..1,1,2241,0.680741

to_count,1..2,2,316,0.09599

to_count,2..3,3,122,0.03706

to_count,3..5,5,186,0.056501

to_count,5..10,10,88,0.026731

to_count,10..20,20,100,0.030377

to_count,20..50,50,126,0.038275

to_count,50..inf,inf,56,0.017011

cc_count,-inf..0,0,1807,0.548906

cc_count,0..1,1,297,0.090219

cc_count,1..2,2,229,0.069563

cc_count,2..3,3,201,0.061057

cc_count,3..5,5,300,0.09113

cc_count,5..10,10,279,0.084751

cc_count,10..20,20,100,0.030377

cc_count,20..50,50,40,0.012151

cc_count,50..inf,inf,39,0.011847

recipient_total_count,-inf..0,0,47,0.014277

recipient_total_count,0..1,1,1417,0.430437

recipient_total_count,1..2,2,285,0.086574

recipient_total_count,2..3,3,199,0.06045

recipient_total_count,3..5,5,448,0.136087

recipient_total_count,5..10,10,459,0.139429

recipient_total_count,10..20,20,200,0.060753

recipient_total_count,20..50,50,134,0.040705

recipient_total_count,50..inf,inf,103,0.031288

attachment_count,-inf..0,0,1059,0.321689

attachment_count,0..1,1,739,0.224484

attachment_count,1..2,2,362,0.109964

attachment_count,2..3,3,219,0.066525

attachment_count,3..5,5,475,0.144289

attachment_count,5..10,10,397,0.120595

attachment_count,10..20,20,35,0.010632

attachment_count,20..inf,inf,6,0.001823

mails_per_thread,-inf..1,1,2110,0.818782

mails_per_thread,1..2,2,321,0.124563

mails_per_thread,2..3,3,98,0.038029

mails_per_thread,3..5,5,35,0.013582

mails_per_thread,5..10,10,12,0.004657

mails_per_thread,10..20,20,1,0.000388

mails_per_thread,20..50,50,0,0.0

mails_per_thread,50..inf,inf,0,0.0

thread_text_chars,-inf..0,0,0,0.0

thread_text_chars,0..1000,1000,968,0.375631

thread_text_chars,1000..3000,3000,1293,0.501746

thread_text_chars,3000..5000,5000,229,0.088863

thread_text_chars,5000..10000,10000,80,0.031044

thread_text_chars,10000..20000,20000,7,0.002716

thread_text_chars,20000..40000,40000,0,0.0

thread_text_chars,40000..80000,80000,0,0.0

thread_text_chars,80000..inf,inf,0,0.0

interarrival_minutes,-inf..0,0,16,0.004862

interarrival_minutes,0..5,5,507,0.154057

interarrival_minutes,5..15,15,433,0.131571

interarrival_minutes,15..30,30,388,0.117897

interarrival_minutes,30..60,60,504,0.153145

interarrival_minutes,60..180,180,729,0.221513

interarrival_minutes,180..720,720,285,0.0866

interarrival_minutes,720..1440,1440,279,0.084777

interarrival_minutes,1440..10080,10080,147,0.044667

interarrival_minutes,10080..inf,inf,3,0.000912

