distribution,real_n,synthetic_n,kl_real_to_synthetic,js_divergence,total_variation,emd_bin_index
attachment_count,3292,310,4.966177,0.122031,0.277339,0.090418
body_chars_after_mailtodo_limit,3292,310,0.072857,0.019826,0.135631,0.037024
body_chars_full_clean,3292,310,0.080717,0.021667,0.148087,0.041687
cc_count,3292,310,0.304927,0.075976,0.345199,0.081795
interarrival_minutes,3291,309,0.080821,0.016049,0.136055,0.038379
mails_per_thread,2577,226,0.018894,0.004092,0.030237,0.009412
recipient_total_count,3292,310,0.721339,0.106356,0.39482,0.114201
subject_chars,3292,310,0.08172,0.011977,0.122759,0.028126
thread_text_chars,2577,226,0.185898,0.052936,0.222985,0.059265
to_count,3292,310,1.085777,0.147562,0.493396,0.121117
