condition,role,threshold,same_project_floor,record_count,gold_cluster_count,pred_cluster_count,pairwise_precision,pairwise_recall,pairwise_f1,bcubed_precision,bcubed_recall,bcubed_f1,cluster_purity,false_merge_count,false_split_count,true_positive_pairs,true_negative_pairs,seed
baseline_signature,baseline,0.62,0.96,120,18,89,0.947368,0.087805,0.160714,0.988889,0.236306,0.381458,0.991667,2,374,36,6728,20260618
human_partial,human_authored_knowledge,0.62,0.96,120,18,60,1.0,0.321951,0.487085,1.0,0.438948,0.610096,1.0,0,278,132,6730,20260618
human_full,human_authored_knowledge,0.62,0.96,120,18,45,1.0,0.434146,0.605442,1.0,0.545179,0.705651,1.0,0,232,178,6730,20260618
human_noisy,human_authored_knowledge,0.62,0.96,120,18,62,1.0,0.285366,0.444023,1.0,0.408671,0.580222,1.0,0,293,117,6730,20260618
baseline_signature,baseline,0.62,0.96,120,18,88,0.95,0.092683,0.168889,0.988889,0.242661,0.389696,0.991667,2,372,38,6728,20260619
human_partial,human_authored_knowledge,0.62,0.96,120,18,57,1.0,0.360976,0.530466,1.0,0.463815,0.633707,1.0,0,262,148,6730,20260619
human_full,human_authored_knowledge,0.62,0.96,120,18,46,1.0,0.44878,0.619529,1.0,0.552664,0.711891,1.0,0,226,184,6730,20260619
human_noisy,human_authored_knowledge,0.62,0.96,120,18,60,1.0,0.317073,0.481481,1.0,0.426315,0.597785,1.0,0,280,130,6730,20260619
baseline_signature,baseline,0.62,0.96,120,18,87,0.957447,0.109756,0.196937,0.988889,0.254265,0.40452,0.991667,2,365,45,6728,20260620
human_partial,human_authored_knowledge,0.62,0.96,120,18,60,1.0,0.32439,0.489871,1.0,0.435032,0.606303,1.0,0,277,133,6730,20260620
human_full,human_authored_knowledge,0.62,0.96,120,18,46,1.0,0.478049,0.646865,1.0,0.564318,0.721488,1.0,0,214,196,6730,20260620
human_noisy,human_authored_knowledge,0.62,0.96,120,18,61,1.0,0.302439,0.464419,1.0,0.41031,0.581872,1.0,0,286,124,6730,20260620
baseline_signature,baseline,0.62,0.96,120,18,88,0.954545,0.102439,0.185022,0.988889,0.253567,0.403636,0.991667,2,368,42,6728,20260621
human_partial,human_authored_knowledge,0.62,0.96,120,18,60,1.0,0.331707,0.498168,1.0,0.451043,0.621681,1.0,0,274,136,6730,20260621
human_full,human_authored_knowledge,0.62,0.96,120,18,49,1.0,0.417073,0.58864,1.0,0.531082,0.693734,1.0,0,239,171,6730,20260621
human_noisy,human_authored_knowledge,0.62,0.96,120,18,62,1.0,0.297561,0.458647,1.0,0.419098,0.590654,1.0,0,288,122,6730,20260621
baseline_signature,baseline,0.62,0.96,120,18,90,0.945946,0.085366,0.1566,0.988889,0.235241,0.380069,0.991667,2,375,35,6728,20260622
human_partial,human_authored_knowledge,0.62,0.96,120,18,60,1.0,0.321951,0.487085,1.0,0.438313,0.609483,1.0,0,278,132,6730,20260622
human_full,human_authored_knowledge,0.62,0.96,120,18,43,1.0,0.5,0.666667,1.0,0.597361,0.747935,1.0,0,205,205,6730,20260622
human_noisy,human_authored_knowledge,0.62,0.96,120,18,61,1.0,0.3,0.461538,1.0,0.413591,0.585164,1.0,0,287,123,6730,20260622
