distribution,bin,upper,synthetic_count,synthetic_ratio,real_count,real_ratio
attachment_count,-inf..0,0,107,0.345161,1059,0.321689
attachment_count,0..1,1,79,0.254839,739,0.224484
attachment_count,1..2,2,58,0.187097,362,0.109964
attachment_count,2..3,3,66,0.212903,219,0.066525
attachment_count,3..5,5,0,0.0,475,0.144289
attachment_count,5..10,10,0,0.0,397,0.120595
attachment_count,10..20,20,0,0.0,35,0.010632
attachment_count,20..inf,inf,0,0.0,6,0.001823
body_chars_after_mailtodo_limit,-inf..0,0,1,0.003226,39,0.011847
body_chars_after_mailtodo_limit,0..100,100,5,0.016129,66,0.020049
body_chars_after_mailtodo_limit,100..250,250,67,0.216129,265,0.080498
body_chars_after_mailtodo_limit,250..500,500,36,0.116129,431,0.130923
body_chars_after_mailtodo_limit,500..1000,1000,55,0.177419,675,0.205043
body_chars_after_mailtodo_limit,1000..2000,2000,146,0.470968,1816,0.55164
body_chars_after_mailtodo_limit,2000..4000,4000,0,0.0,0,0.0
body_chars_after_mailtodo_limit,4000..8000,8000,0,0.0,0,0.0
body_chars_after_mailtodo_limit,8000..16000,16000,0,0.0,0,0.0
body_chars_after_mailtodo_limit,16000..inf,inf,0,0.0,0,0.0
body_chars_full_clean,-inf..0,0,1,0.003226,39,0.011847
body_chars_full_clean,0..100,100,5,0.016129,66,0.020049
body_chars_full_clean,100..250,250,67,0.216129,265,0.080498
body_chars_full_clean,250..500,500,36,0.116129,431,0.130923
body_chars_full_clean,500..1000,1000,55,0.177419,675,0.205043
body_chars_full_clean,1000..2000,2000,41,0.132258,622,0.188943
body_chars_full_clean,2000..4000,4000,52,0.167742,613,0.186209
body_chars_full_clean,4000..8000,8000,29,0.093548,360,0.109356
body_chars_full_clean,8000..16000,16000,21,0.067742,182,0.055286
body_chars_full_clean,16000..inf,inf,3,0.009677,39,0.011847
cc_count,-inf..0,0,72,0.232258,1807,0.548906
cc_count,0..1,1,76,0.245161,297,0.090219
cc_count,1..2,2,64,0.206452,229,0.069563
cc_count,2..3,3,14,0.045161,201,0.061057
cc_count,3..5,5,26,0.083871,300,0.09113
cc_count,5..10,10,32,0.103226,279,0.084751
cc_count,10..20,20,10,0.032258,100,0.030377
cc_count,20..50,50,14,0.045161,40,0.012151
cc_count,50..inf,inf,2,0.006452,39,0.011847
interarrival_minutes,-inf..0,0,1,0.003236,16,0.004862
interarrival_minutes,0..5,5,23,0.074434,507,0.154057
interarrival_minutes,5..15,15,37,0.119741,433,0.131571
interarrival_minutes,15..30,30,51,0.165049,388,0.117897
interarrival_minutes,30..60,60,65,0.210356,504,0.153145
interarrival_minutes,60..180,180,77,0.249191,729,0.221513
interarrival_minutes,180..720,720,28,0.090615,285,0.0866
interarrival_minutes,720..1440,1440,22,0.071197,279,0.084777
interarrival_minutes,1440..10080,10080,5,0.016181,147,0.044667
interarrival_minutes,10080..inf,inf,0,0.0,3,0.000912
mails_per_thread,-inf..1,1,186,0.823009,2110,0.818782
mails_per_thread,1..2,2,22,0.097345,321,0.124563
mails_per_thread,2..3,3,8,0.035398,98,0.038029
mails_per_thread,3..5,5,6,0.026549,35,0.013582
mails_per_thread,5..10,10,4,0.017699,12,0.004657
mails_per_thread,10..20,20,0,0.0,1,0.000388
mails_per_thread,20..50,50,0,0.0,0,0.0
mails_per_thread,50..inf,inf,0,0.0,0,0.0
recipient_total_count,-inf..0,0,0,0.0,47,0.014277
recipient_total_count,0..1,1,25,0.080645,1417,0.430437
recipient_total_count,1..2,2,52,0.167742,285,0.086574
recipient_total_count,2..3,3,52,0.167742,199,0.06045
recipient_total_count,3..5,5,83,0.267742,448,0.136087
recipient_total_count,5..10,10,62,0.2,459,0.139429
recipient_total_count,10..20,20,14,0.045161,200,0.060753
recipient_total_count,20..50,50,17,0.054839,134,0.040705
recipient_total_count,50..inf,inf,5,0.016129,103,0.031288
subject_chars,-inf..0,0,0,0.0,3,0.000911
subject_chars,0..20,20,89,0.287097,541,0.164338
subject_chars,20..50,50,170,0.548387,2062,0.626367
subject_chars,50..100,100,51,0.164516,679,0.206258
subject_chars,100..150,150,0,0.0,7,0.002126
subject_chars,150..250,250,0,0.0,0,0.0
subject_chars,250..inf,inf,0,0.0,0,0.0
thread_text_chars,-inf..0,0,0,0.0,0,0.0
thread_text_chars,0..1000,1000,94,0.415929,968,0.375631
thread_text_chars,1000..3000,3000,63,0.278761,1293,0.501746
thread_text_chars,3000..5000,5000,30,0.132743,229,0.088863
thread_text_chars,5000..10000,10000,16,0.070796,80,0.031044
thread_text_chars,10000..20000,20000,20,0.088496,7,0.002716
thread_text_chars,20000..40000,40000,3,0.013274,0,0.0
thread_text_chars,40000..80000,80000,0,0.0,0,0.0
thread_text_chars,80000..inf,inf,0,0.0,0,0.0
to_count,-inf..0,0,0,0.0,57,0.017315
to_count,0..1,1,83,0.267742,2241,0.680741
to_count,1..2,2,74,0.23871,316,0.09599
to_count,2..3,3,85,0.274194,122,0.03706
to_count,3..5,5,49,0.158065,186,0.056501
to_count,5..10,10,12,0.03871,88,0.026731
to_count,10..20,20,6,0.019355,100,0.030377
to_count,20..50,50,1,0.003226,126,0.038275
to_count,50..inf,inf,0,0.0,56,0.017011
