condition,role,threshold,same_project_floor,record_count,gold_cluster_count,pred_cluster_count,pairwise_precision,pairwise_recall,pairwise_f1,bcubed_precision,bcubed_recall,bcubed_f1,cluster_purity,false_merge_count,false_split_count,true_positive_pairs,true_negative_pairs
baseline_signature,baseline,0.4,0.96,120,18,46,0.826923,0.419512,0.556634,0.927778,0.508683,0.657094,0.933333,36,238,172,6694
human_partial,human_authored_knowledge,0.4,0.96,120,18,38,1.0,0.565854,0.722741,1.0,0.649223,0.787307,1.0,0,178,232,6730
human_full,human_authored_knowledge,0.4,0.96,120,18,30,1.0,0.646341,0.785185,1.0,0.726524,0.841603,1.0,0,145,265,6730
human_noisy,human_authored_knowledge,0.4,0.96,120,18,38,1.0,0.573171,0.728682,1.0,0.646445,0.785261,1.0,0,175,235,6730
baseline_signature,baseline,0.45,0.96,120,18,53,0.958042,0.334146,0.495479,0.98,0.444378,0.611481,0.983333,6,273,137,6724
human_partial,human_authored_knowledge,0.45,0.96,120,18,43,1.0,0.526829,0.690096,1.0,0.605094,0.753967,1.0,0,194,216,6730
human_full,human_authored_knowledge,0.45,0.96,120,18,34,1.0,0.607317,0.75569,1.0,0.691284,0.817467,1.0,0,161,249,6730
human_noisy,human_authored_knowledge,0.45,0.96,120,18,45,1.0,0.5,0.666667,1.0,0.578705,0.733139,1.0,0,205,205,6730
baseline_signature,baseline,0.5,0.96,120,18,57,0.954545,0.307317,0.464945,0.98,0.420568,0.588557,0.983333,6,284,126,6724
human_partial,human_authored_knowledge,0.5,0.96,120,18,48,1.0,0.434146,0.605442,1.0,0.525808,0.689219,1.0,0,232,178,6730
human_full,human_authored_knowledge,0.5,0.96,120,18,37,1.0,0.543902,0.704581,1.0,0.634141,0.776116,1.0,0,187,223,6730
human_noisy,human_authored_knowledge,0.5,0.96,120,18,49,1.0,0.434146,0.605442,1.0,0.518586,0.682985,1.0,0,232,178,6730
baseline_signature,baseline,0.55,0.96,120,18,67,0.939394,0.226829,0.365422,0.98,0.353564,0.519649,0.983333,6,317,93,6724
human_partial,human_authored_knowledge,0.55,0.96,120,18,53,1.0,0.353659,0.522523,1.0,0.467276,0.63693,1.0,0,265,145,6730
human_full,human_authored_knowledge,0.55,0.96,120,18,40,1.0,0.458537,0.628763,1.0,0.566364,0.723157,1.0,0,222,188,6730
human_noisy,human_authored_knowledge,0.55,0.96,120,18,55,1.0,0.326829,0.492647,1.0,0.443665,0.614637,1.0,0,276,134,6730
baseline_signature,baseline,0.6,0.96,120,18,82,0.894737,0.12439,0.218415,0.98,0.266056,0.418496,0.983333,6,359,51,6724
human_partial,human_authored_knowledge,0.6,0.96,120,18,57,1.0,0.334146,0.500914,1.0,0.448526,0.619286,1.0,0,273,137,6730
human_full,human_authored_knowledge,0.6,0.96,120,18,43,1.0,0.443902,0.614865,1.0,0.552376,0.711652,1.0,0,228,182,6730
human_noisy,human_authored_knowledge,0.6,0.96,120,18,59,1.0,0.297561,0.458647,1.0,0.418249,0.58981,1.0,0,288,122,6730
baseline_signature,baseline,0.62,0.96,120,18,89,0.947368,0.087805,0.160714,0.988889,0.236306,0.381458,0.991667,2,374,36,6728
human_partial,human_authored_knowledge,0.62,0.96,120,18,60,1.0,0.321951,0.487085,1.0,0.438948,0.610096,1.0,0,278,132,6730
human_full,human_authored_knowledge,0.62,0.96,120,18,45,1.0,0.434146,0.605442,1.0,0.545179,0.705651,1.0,0,232,178,6730
human_noisy,human_authored_knowledge,0.62,0.96,120,18,62,1.0,0.285366,0.444023,1.0,0.408671,0.580222,1.0,0,293,117,6730
baseline_signature,baseline,0.65,0.96,120,18,97,1.0,0.060976,0.114943,1.0,0.21221,0.350121,1.0,0,385,25,6730
human_partial,human_authored_knowledge,0.65,0.96,120,18,61,1.0,0.319512,0.484288,1.0,0.436567,0.607792,1.0,0,279,131,6730
human_full,human_authored_knowledge,0.65,0.96,120,18,45,1.0,0.434146,0.605442,1.0,0.545179,0.705651,1.0,0,232,178,6730
human_noisy,human_authored_knowledge,0.65,0.96,120,18,63,1.0,0.282927,0.441065,1.0,0.40629,0.577818,1.0,0,294,116,6730
baseline_signature,baseline,0.7,0.96,120,18,104,1.0,0.041463,0.079625,1.0,0.194577,0.325767,1.0,0,393,17,6730
human_partial,human_authored_knowledge,0.7,0.96,120,18,68,1.0,0.290244,0.449905,1.0,0.410509,0.582072,1.0,0,291,119,6730
human_full,human_authored_knowledge,0.7,0.96,120,18,51,1.0,0.407317,0.578856,1.0,0.524676,0.688246,1.0,0,243,167,6730
human_noisy,human_authored_knowledge,0.7,0.96,120,18,71,1.0,0.25122,0.401559,1.0,0.378565,0.549216,1.0,0,307,103,6730
baseline_signature,baseline,0.75,0.96,120,18,120,0.0,0.0,0.0,1.0,0.15,0.26087,1.0,0,410,0,6730
